CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,PRIM_CONTRIBUTORY_CAUSE,NUM_UNITS,CRASH_MONTH,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,CRASH_HOUR,CRASH_DAY_OF_WEEK,LATITUDE,LONGITUDE
06/29/2023 03:00:00 PM,20,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FOLLOWING TOO CLOSELY,2,6,NO INDICATION OF INJURY,0,0,15,5,41.7651094319,-87.6445569518
03/22/2022 06:10:00 PM,25,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,3,NO INDICATION OF INJURY,0,0,18,3,41.7810778838,-87.7156122198
07/27/2025 02:40:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,UNKNOWN,NO INJURY / DRIVE AWAY,IMPROPER BACKING,2,7,NO INDICATION OF INJURY,0,0,14,1,41.9526544192,-87.7985551573
02/16/2026 01:34:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,1,2,NO INDICATION OF INJURY,0,0,1,2,41.6803322053,-87.6625846787
01/09/2026 12:39:00 AM,25,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,WEATHER,2,1,NO INDICATION OF INJURY,0,0,0,6,41.8652196377,-87.7350874036
03/26/2023 10:00:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,3,NO INDICATION OF INJURY,0,0,10,1,41.727526078,-87.5947656734
10/09/2021 12:40:00 PM,10,CLEAR,DAYLIGHT,ANGLE,ALLEY,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,10,NO INDICATION OF INJURY,0,0,12,7,41.7644160526,-87.7078264784
09/18/2025 06:00:00 PM,30,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,IMPROPER TURNING/NO SIGNAL,2,9,NO INDICATION OF INJURY,0,0,18,5,41.9470874824,-87.6697641909
07/05/2025 03:30:00 PM,30,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,7,NO INDICATION OF INJURY,0,0,15,7,41.888079727,-87.6244260468
09/10/2022 11:52:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,DISREGARDING TRAFFIC SIGNALS,2,9,NO INDICATION OF INJURY,0,0,23,7,41.9764063566,-87.7878625958
04/24/2026 10:39:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,22,6,41.8969163422,-87.6165652327
04/17/2021 01:35:00 PM,30,UNKNOWN,UNKNOWN,REAR END,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,4,NO INDICATION OF INJURY,0,0,13,7,41.9110650526,-87.6458680972
11/03/2024 06:00:00 AM,25,CLEAR,DAWN,OTHER OBJECT,OTHER,DRY,NO INJURY / DRIVE AWAY,NOT APPLICABLE,1,11,NO INDICATION OF INJURY,0,0,6,1,41.9908340688,-87.6767717296
07/24/2021 12:30:00 AM,30,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,FAILING TO REDUCE SPEED TO AVOID CRASH,2,7,NO INDICATION OF INJURY,0,0,0,7,41.8840807757,-87.6709185251
06/02/2022 04:05:00 PM,35,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,6,NO INDICATION OF INJURY,0,0,16,5,41.7883180634,-87.6937959744
10/05/2024 11:20:00 AM,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,3,10,NO INDICATION OF INJURY,0,0,11,7,41.9099403934,-87.7121895802
12/18/2023 07:00:00 AM,25,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,UNKNOWN,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,12,NO INDICATION OF INJURY,0,0,7,2,42.0185619877,-87.679195604
05/06/2025 10:12:00 AM,35,CLEAR,DAYLIGHT,TURNING,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,IMPROPER TURNING/NO SIGNAL,2,5,NONINCAPACITATING INJURY,1,0,10,3,41.7392330025,-87.6256838706
05/13/2022 01:30:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,UNABLE TO DETERMINE,2,5,NO INDICATION OF INJURY,0,0,13,6,41.7488401792,-87.6347894858
02/13/2021 09:14:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",TURNING,UNKNOWN,SNOW OR SLUSH,NO INJURY / DRIVE AWAY,DISREGARDING STOP SIGN,2,2,NO INDICATION OF INJURY,0,0,21,7,41.8139284415,-87.5982822763
05/22/2022 01:00:00 PM,35,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,UNABLE TO DETERMINE,3,5,"REPORTED, NOT EVIDENT",1,0,13,1,41.8950961033,-87.7480607282
05/31/2022 01:30:00 PM,30,CLEAR,DAYLIGHT,TURNING,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,FAILING TO YIELD RIGHT-OF-WAY,2,5,NO INDICATION OF INJURY,0,0,13,3,41.7356969886,-87.6632095445
